id,providers
274304,['Amazon Prime Video']
53655,['Amazon Prime Video']
48640,['Amazon Prime Video']
39418,['Amazon Prime Video']
30154,['Amazon Prime Video']
25572,['Amazon Prime Video']
22366,['Netflix']
18596,['Amazon Prime Video']
1646,['Netflix']
228092,['Amazon Prime Video']
121135,['Amazon Prime Video']
1250,['Netflix']
37093,['Amazon Prime Video']
12994,['Stan']
972846,['Amazon Prime Video']
9966,['Stan']
9963,['Stan']
9757,['Stan']
11172,"['Netflix', 'Stan']"
9815,['Stan']
2267,['Stan']
239496,['Amazon Prime Video']
15066,['Amazon Prime Video']
13251,['Stan']
16555,['Stan']
4638,['Stan']
1265,['Stan']
210250,['Stan']
29792,['Amazon Prime Video']
2977,['Amazon Prime Video']
1949,['Netflix']
29797,['Amazon Prime Video']
16453,['Netflix']
18290,['Amazon Prime Video']
16962,['Stan']
8363,['Netflix']
7485,"['Amazon Prime Video', 'Stan']"
1268,['Netflix']
16385,['Stan']
5723,['Stan']
1273,"['Netflix', 'Stan']"
396033,['Netflix']
86762,['Amazon Prime Video']
17954,['Amazon Prime Video']
9955,['Stan']
271603,['Amazon Prime Video']
66616,['Amazon Prime Video']
1992,['Stan']
39158,['Amazon Prime Video']
7183,['Netflix']
28101,['Amazon Prime Video']
29110,['Amazon Prime Video']
6145,['Stan']
46855,['Amazon Prime Video']
63581,['Stan']
14636,['Netflix']
15676,['Amazon Prime Video']
22100,['Amazon Prime Video']
8669,['Amazon Prime Video']
559,['Netflix']
20351,['Stan']
13159,['Netflix']
46301,['Amazon Prime Video']
15019,['Amazon Prime Video']
571621,['Amazon Prime Video']
46907,['Amazon Prime Video']
810,"['Netflix', 'Stan']"
150966,['Amazon Prime Video']
1991,['Stan']
40620,['Amazon Prime Video']
4964,['Stan']
4771,['Stan']
298,"['Netflix', 'Stan']"
13363,['Amazon Prime Video']
820862,['Amazon Prime Video']
6977,"['Netflix', 'Amazon Prime Video', 'Stan']"
3638,['Stan']
13121,['Stan']
3021,['Stan']
1988,['Stan']
1858,"['Netflix', 'Amazon Prime Video', 'Stan']"
204477,['Amazon Prime Video']
2959,['Stan']
15010,['Stan']
28791,['Amazon Prime Video']
15071,['Netflix']
3563,['Netflix']
8748,['Netflix']
309117,['Amazon Prime Video']
2976,['Stan']
39517,['Amazon Prime Video']
13250,['Stan']
13008,['Amazon Prime Video']
5857,['Stan']
18362,['Amazon Prime Video']
2503,['Stan']
103902,['Amazon Prime Video']
143966,['Amazon Prime Video']
27896,['Amazon Prime Video']
14144,['Netflix']
5174,['Stan']
2270,['Stan']
271085,['Amazon Prime Video']
17901,['Amazon Prime Video']
12435,['Stan']
10431,['Netflix']
6973,['Stan']
2082,"['Netflix', 'Stan']"
13354,['Stan']
13202,['Amazon Prime Video']
5176,"['Netflix', 'Stan']"
291105,['Amazon Prime Video']
12473,['Amazon Prime Video']
4512,['Netflix']
73274,['Amazon Prime Video']
13252,['Netflix']
5915,"['Amazon Prime Video', 'Stan']"
4413,['Stan']
247672,['Amazon Prime Video']
13910,['Stan']
288199,['Amazon Prime Video']
23827,['Stan']
22822,['Amazon Prime Video']
14540,['Amazon Prime Video']
13283,['Stan']
262653,['Amazon Prime Video']
4629,['Stan']
10760,['Netflix']
10030,"['Netflix', 'Amazon Prime Video']"
16460,['Amazon Prime Video']
3902,['Stan']
24696,['Stan']
182979,['Stan']
45102,['Amazon Prime Video']
17303,['Amazon Prime Video']
17202,['Stan']
15669,['Amazon Prime Video']
6615,['Amazon Prime Video']
22331,['Amazon Prime Video']
4515,['Amazon Prime Video']
663,['Stan']
18441,['Amazon Prime Video']
5559,"['Netflix', 'Stan']"
13106,['Amazon Prime Video']
4982,['Stan']
5375,['Netflix']
13022,['Stan']
2284,['Stan']
199712,['Amazon Prime Video']
117922,['Amazon Prime Video']
5876,"['Netflix', 'Stan']"
5123,['Netflix']
13483,['Stan']
13394,['Netflix']
2312,['Amazon Prime Video']
2268,['Stan']
310224,['Stan']
53867,['Amazon Prime Video']
6479,['Stan']
6477,['Amazon Prime Video']
7979,['Stan']
505718,['Amazon Prime Video']
14158,['Netflix']
7345,['Stan']
14047,['Stan']
68965,['Amazon Prime Video']
55914,['Amazon Prime Video']
808592,"['Netflix', 'Stan']"
697735,['Amazon Prime Video']
528530,['Netflix']
510189,['Amazon Prime Video']
446222,['Amazon Prime Video']
278670,['Amazon Prime Video']
271543,['Amazon Prime Video']
209378,['Amazon Prime Video']
123247,['Amazon Prime Video']
71074,['Amazon Prime Video']
70177,['Amazon Prime Video']
65515,['Amazon Prime Video']
58213,['Amazon Prime Video']
49957,['Amazon Prime Video']
44254,['Amazon Prime Video']
33127,['Amazon Prime Video']
26970,['Amazon Prime Video']
22819,['Amazon Prime Video']
21034,['Amazon Prime Video']
18529,['Amazon Prime Video']
16216,['Amazon Prime Video']
15922,['Amazon Prime Video']
14579,['Amazon Prime Video']
13808,['Amazon Prime Video']
8055,['Stan']
48397,['Amazon Prime Video']
183149,['Amazon Prime Video']
112722,['Stan']
7191,['Stan']
13090,['Stan']
30023,['Amazon Prime Video']
3580,['Netflix']
56745,['Amazon Prime Video']
837906,['Amazon Prime Video']
8676,['Netflix']
125289,['Amazon Prime Video']
97399,['Netflix']
13490,['Netflix']
8321,['Netflix']
55804,"['Netflix', 'Amazon Prime Video']"
103022,['Amazon Prime Video']
22600,['Netflix']
8247,['Amazon Prime Video']
8204,"['Amazon Prime Video', 'Stan']"
53811,['Amazon Prime Video']
7840,['Netflix']
18198,['Stan']
46573,['Amazon Prime Video']
13260,['Stan']
8848,['Stan']
13401,['Amazon Prime Video']
18434,['Amazon Prime Video']
8747,['Netflix']
60492,['Amazon Prime Video']
10885,['Amazon Prime Video']
8065,['Netflix']
67362,['Amazon Prime Video']
197320,['Amazon Prime Video']
143431,['Stan']
13613,['Amazon Prime Video']
1266,['Amazon Prime Video']
13335,['Stan']
75502,['Amazon Prime Video']
16200,['Amazon Prime Video']
13191,['Amazon Prime Video']
73463,['Amazon Prime Video']
14574,['Stan']
9029,['Amazon Prime Video']
7459,['Stan']
4564,"['Netflix', 'Stan']"
8940,['Stan']
20033,['Amazon Prime Video']
36601,['Amazon Prime Video']
217,['Stan']
518825,['Amazon Prime Video']
232435,['Amazon Prime Video']
9502,"['Netflix', 'Stan']"
10661,"['Netflix', 'Amazon Prime Video']"
14847,['Amazon Prime Video']
13172,['Stan']
20382,['Amazon Prime Video']
1724,['Stan']
839818,['Amazon Prime Video']
11665,['Amazon Prime Video']
543695,['Amazon Prime Video']
11802,['Stan']
15912,['Stan']
45361,['Stan']
8960,['Netflix']
1735,['Stan']
392499,['Amazon Prime Video']
11631,"['Netflix', 'Amazon Prime Video', 'Stan']"
11260,['Amazon Prime Video']
88751,['Stan']
281053,['Amazon Prime Video']
155,"['Netflix', 'Stan']"
28937,['Amazon Prime Video']
44038,['Amazon Prime Video']
14639,['Netflix']
12689,['Stan']
12133,['Stan']
13901,['Amazon Prime Video']
16123,['Amazon Prime Video']
39054,['Amazon Prime Video']
