tmdb_id,imdb_id,original_language,original_title,genre_id,release_date,video,adult,popularity,tmdb_rating_avg,tmdb_vote_count,imdb_rating,imdb_votes,providers,iso_country,country_name,budget,revenue,runtime
339065,tt3162938,en,The True Cost,"['Action', 'Thriller', 'Crime']",29/05/2015,False,False,10.511,7.6,200,7.7,7099,['Amazon Prime Video'],US,United States of America,0,0,92
332340,tt3064298,en,Man Up,[],29/05/2015,False,False,15.183,6.6,835,6.8,54027,['Stan'],FR,France,0,3000000,88
318256,tt4382552,en,Hot Girls Wanted,"['Documentary', 'Music']",29/05/2015,False,False,27.918,6.0,520,6.1,17855,['Netflix'],US,United States of America,0,0,84
271714,tt0903657,en,Love & Mercy,"['Drama', 'Adventure', 'History']",29/05/2015,False,False,15.715,7.1,577,7.4,40283,['Stan'],US,United States of America,0,28641776,120
452134,tt4077656,en,Pipe Dream,"['Drama', 'Crime', 'History']",30/05/2015,False,False,1.657,6.5,4,3.8,106,['Amazon Prime Video'],AU,Australia,0,0,95
379050,tt3472714,en,At Granny's House,[],30/05/2015,False,False,2.135,4.3,10,4.0,2470,['Amazon Prime Video'],US,United States of America,0,0,83
343284,tt3602128,en,Night of the Living Deb,"['Documentary', 'Music']",30/05/2015,False,False,6.535,5.3,121,5.5,4043,['Amazon Prime Video'],US,United States of America,2000000,0,84
339060,tt3877296,en,The Cokeville Miracle,"['Crime', 'Thriller']",5/06/2015,False,False,20.26,6.7,73,5.4,2602,['Amazon Prime Video'],US,United States of America,0,0,94
312827,tt3317522,en,The Nightmare,['Documentary'],5/06/2015,False,False,8.013,5.6,246,5.7,6931,['Amazon Prime Video'],US,United States of America,0,28281,90
345054,tt4733736,en,Double Daddy,"['Drama', 'Thriller', 'Science Fiction']",6/06/2015,False,False,6.334,6.8,62,5.8,1194,['Amazon Prime Video'],CA,Canada,0,0,85
343369,tt4122118,en,Love Finds You in Charm,"['Drama', 'War']",6/06/2015,False,False,5.46,6.2,41,6.4,1238,['Amazon Prime Video'],US,United States of America,0,0,93
135397,tt0369610,en,Jurassic World,"['Horror', 'Science Fiction', 'Thriller']",6/06/2015,False,False,100.875,6.7,18727,6.9,646087,['Amazon Prime Video'],US,United States of America,150000000,1671713208,124
362230,tt3251306,en,Richard the Lionheart: Rebellion,"['Comedy', 'Drama', 'Fantasy']",11/06/2015,False,False,2.677,2.2,10,2.7,533,['Amazon Prime Video'],US,United States of America,0,0,96
337474,tt3745770,en,True Appaloosa,['Comedy'],12/06/2015,False,False,1.633,7.8,3,7.7,64,['Amazon Prime Video'],GB,United Kingdom,0,0,84
339152,tt3299704,en,The Babushkas of Chernobyl,"['Family', 'Adventure']",14/06/2015,False,False,3.695,7.3,16,7.9,822,['Amazon Prime Video'],US,United States of America,0,0,72
345170,tt1239242,en,Frank and Cindy,"['Documentary', 'Music']",16/06/2015,False,False,4.827,5.5,19,6.1,887,['Netflix'],US,United States of America,0,0,102
321039,tt4341532,en,The Phoenix Incident,"['Comedy', 'Documentary']",16/06/2015,False,False,5.629,5.1,47,4.9,3511,['Amazon Prime Video'],US,United States of America,1300000,0,81
308639,tt3850214,en,Dope,"['Animation', 'Comedy', 'Family', 'Fantasy']",19/06/2015,False,False,17.752,7.1,1314,7.2,86388,"['Netflix', 'Amazon Prime Video']",US,United States of America,7000000,17986781,103
346228,tt4622202,en,"Love, Again","['Fantasy', 'Adventure', 'Family', 'Action']",21/06/2015,False,False,4.488,6.1,18,5.9,669,['Amazon Prime Video'],CA,Canada,0,0,90
340236,tt4486122,en,Scrum,['Documentary'],22/06/2015,False,False,0.6,5.9,7,6.6,135,['Amazon Prime Video'],AU,Australia,0,0,54
319152,tt3462002,en,Finders Keepers,['Comedy'],22/06/2015,False,False,4.321,6.5,50,6.8,2684,['Amazon Prime Video'],US,United States of America,0,0,82
308457,tt3090670,en,Advantageous,"['Adventure', 'Drama', 'Thriller']",23/06/2015,False,False,8.463,6.0,136,6.1,5636,['Netflix'],US,United States of America,0,0,92
87101,tt1340138,en,Terminator Genisys,['Fantasy'],23/06/2015,False,False,95.857,5.9,7480,6.3,280419,"['Netflix', 'Stan']",CA,Canada,155000000,440603537,126
318781,tt4005402,en,Colonia,"['Comedy', 'Drama']",24/06/2015,False,False,18.057,7.3,1722,7.0,54514,['Stan'],DE,Germany,14000000,3621046,106
214756,tt2637276,en,Ted 2,"['Thriller', 'Action']",25/06/2015,False,False,110.366,6.3,6507,6.3,213277,"['Netflix', 'Amazon Prime Video', 'Stan']",US,United States of America,68000000,215863606,115
346473,tt4566712,en,Lisa Lampanelli: Back to the Drawing Board,['Horror'],26/06/2015,False,False,1.624,5.1,4,6.2,109,['Amazon Prime Video'],US,United States of America,0,0,60
310137,tt1230213,en,Bound to Vengeance,['Comedy'],26/06/2015,False,False,8.499,5.7,243,5.6,6041,['Amazon Prime Video'],US,United States of America,0,0,80
288036,tt3165612,en,Sleeping with Other People,['Documentary'],26/06/2015,False,False,12.357,6.3,782,6.5,44629,['Stan'],US,United States of America,0,3214116,100
86828,tt1727770,en,Absolutely Anything,"['Documentary', 'History']",26/06/2015,False,False,14.076,5.8,1215,6.0,43612,['Stan'],GB,United Kingdom,0,6303792,85
356204,tt4515456,en,"Andrew Carnegie: Rags to Riches, Power to Peace",['Animation'],1/07/2015,False,False,0.686,6.7,3,7.0,63,['Amazon Prime Video'],GB,United Kingdom,0,0,59
245846,tt2325977,en,Strangerland,['Comedy'],1/07/2015,False,False,10.423,5.3,220,5.2,9669,['Stan'],AU,Australia,10000000,111107,111
317952,tt4126304,en,Cartel Land,['Comedy'],3/07/2015,False,False,13.795,7.2,314,7.3,18532,['Stan'],US,United States of America,0,0,100
309242,tt2349144,en,Mississippi Grind,"['Comedy', 'Horror', 'Thriller']",4/07/2015,False,False,9.625,6.0,403,6.4,24444,['Stan'],US,United States of America,0,130541,108
347548,tt3561236,en,Containment,"['Mystery', 'Comedy', 'Drama']",9/07/2015,False,False,27.264,5.9,160,4.9,3156,['Amazon Prime Video'],GB,United Kingdom,0,0,77
348035,tt4835636,en,Chris Tucker: Live,"['Family', 'Animation', 'Adventure']",10/07/2015,False,False,5.608,6.0,57,6.3,2013,['Netflix'],US,United States of America,0,0,92
347688,tt4717798,en,Scooby-Doo! and Kiss: Rock and Roll Mystery,"['Drama', 'History']",10/07/2015,False,False,17.469,8.1,247,6.4,2492,['Stan'],US,United States of America,0,0,79
238615,tt2140379,en,Self/less,['Drama'],10/07/2015,False,False,34.789,6.4,2755,6.5,100446,"['Netflix', 'Stan']",US,United States of America,26000000,31807156,117
348393,tt4766018,en,Family for Christmas,"['Romance', 'TV Movie', 'Drama']",11/07/2015,False,False,7.061,5.9,88,6.2,2413,['Amazon Prime Video'],CA,Canada,0,0,90
378088,tt3163224,en,The Carrier,"['Horror', 'Romance']",15/07/2015,False,False,3.852,3.8,20,3.9,1025,['Amazon Prime Video'],GB,United Kingdom,0,0,90
336016,tt4018492,en,Ruben Guthrie,"['Thriller', 'Mystery', 'Drama', 'Crime']",16/07/2015,False,False,3.624,4.9,13,5.8,645,['Stan'],AU,Australia,0,0,94
316246,tt3431016,en,The Messenger,['Documentary'],16/07/2015,False,False,3.678,4.8,20,5.1,1228,['Amazon Prime Video'],GB,United Kingdom,0,0,95
257344,tt2120120,en,Pixels,"['Music', 'Documentary']",16/07/2015,False,False,63.604,5.7,6714,5.6,146746,['Amazon Prime Video'],CN,China,88000000,244874809,105
253344,tt1725986,en,Some Kind of Beautiful,"['Horror', 'Comedy']",16/07/2015,False,False,12.478,5.6,512,5.7,15182,['Stan'],GB,United Kingdom,0,0,99
308032,tt0420293,en,The Stanford Prison Experiment,['Drama'],17/07/2015,False,False,14.069,6.9,826,6.8,43733,['Netflix'],US,United States of America,0,643557,122
271718,tt3152624,en,Trainwreck,"['Comedy', 'Drama', 'Romance']",17/07/2015,False,False,30.473,5.8,2361,6.2,138189,"['Amazon Prime Video', 'Stan']",US,United States of America,35000000,140795793,125
