,adult,genre_id,tmdb_id,imdb_id,budget,revenue,original_title,original_language,popularity,release_date,title,vote_average,vote_count,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
96,False,"['Family', 'Romance', 'Comedy']",13356,tt0221074,3000000,0,Christmas in the Clouds,en,3.712,2001-01-21,Christmas in the Clouds,6.4,13,Mystery,Science Fiction,Drama,Romance,Fantasy,Thriller
97,False,"['Mystery', 'Science Fiction', 'Drama', 'Romance', 'Fantasy', 'Thriller']",1903,tt0259711,68000000,203388341,Vanilla Sky,en,20.59,2001-01-22,Vanilla Sky,6.807,3530,Drama,,,,,
98,False,['Drama'],48834,tt0255321,0,0,Liam,en,3.064,2001-01-23,Liam,6.242,31,TV Movie,Drama,Romance,,,
99,False,"['TV Movie', 'Drama', 'Romance']",211420,tt0158440,0,0,The Waiting Game,en,1.415,2001-01-25,The Waiting Game,4.0,2,Drama,TV Movie,,,,
100,False,"['Drama', 'TV Movie']",201889,tt0245182,0,0,Jewel,en,2.724,2001-02-07,Jewel,5.0,3,Action,Adventure,Comedy,Crime,Thriller,
101,False,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",12138,tt0233142,62000000,18720175,3000 Miles to Graceland,en,15.283,2001-02-23,3000 Miles to Graceland,5.834,534,Action,Comedy,Crime,Romance,,
102,False,"['Action', 'Comedy', 'Crime', 'Romance']",6073,tt0236493,57000000,147845033,The Mexican,en,16.304,2001-03-01,The Mexican,5.89,1219,Family,Comedy,Action,Crime,,
103,False,"['Family', 'Comedy', 'Action', 'Crime']",39180,tt0250720,0,0,See Spot Run,en,13.907,2001-03-02,See Spot Run,5.9,188,Drama,,,,,
104,False,['Drama'],101358,tt0279240,0,0,A Mother's Testimony,en,2.031,2001-03-06,A Mother's Testimony,5.5,2,Western,,,,,
105,False,['Western'],147967,tt0269408,0,0,The Journeyman,en,2.431,2001-03-10,The Journeyman,5.0,1,Action,Crime,Thriller,,,
106,False,"['Action', 'Crime', 'Thriller']",10877,tt0242445,50000000,79958599,Exit Wounds,en,15.596,2001-03-13,Exit Wounds,5.609,380,Drama,War,History,,,
107,False,"['Drama', 'War', 'History']",853,tt0215750,68000000,96976270,Enemy at the Gates,en,46.701,2001-03-14,Enemy at the Gates,7.39,3036,Action,Comedy,Family,Adventure,,
108,False,"['Action', 'Comedy', 'Family', 'Adventure']",10054,tt0227538,35000000,147934180,Spy Kids,en,35.698,2001-03-18,Spy Kids,5.767,2971,Drama,Adventure,,,,
109,False,"['Drama', 'Adventure']",18017,tt0266078,0,671,Yolngu Boy,en,2.286,2001-03-22,Yolngu Boy,6.0,5,Comedy,Romance,,,,
110,False,"['Comedy', 'Romance']",10646,tt0246989,11000000,23430766,Tomcats,en,13.874,2001-03-30,Tomcats,5.2,211,Drama,,,,,
111,False,['Drama'],654209,tt0371039,0,0,One of Them,en,0.6,2001-04-02,One of Them,0.0,0,Crime,Drama,,,,
112,False,"['Crime', 'Drama']",4133,tt0221027,53000000,83282296,Blow,en,25.702,2001-04-04,Blow,7.369,3810,Crime,Mystery,Thriller,Action,,
113,False,"['Crime', 'Mystery', 'Thriller', 'Action']",2043,tt0164334,60000000,105178561,Along Came a Spider,en,25.66,2001-04-06,Along Came a Spider,6.324,1547,Mystery,Adventure,Comedy,Romance,Drama,
114,False,"['Mystery', 'Adventure', 'Comedy', 'Romance', 'Drama']",10956,tt0245686,17700000,30987695,Joe Dirt,en,13.906,2001-04-10,Joe Dirt,5.601,628,Comedy,Romance,Drama,,,
115,False,"['Comedy', 'Romance', 'Drama']",634,tt0243155,25000000,281929795,Bridget Jones's Diary,en,30.862,2001-04-13,Bridget Jones's Diary,6.754,4401,Comedy,,,,,
116,False,['Comedy'],36963,tt0305727,0,0,Kevin James: Sweat the Small Stuff,en,2.389,2001-04-23,Kevin James: Sweat the Small Stuff,7.25,18,Adventure,Action,Fantasy,,,
117,False,"['Adventure', 'Action', 'Fantasy']",1734,tt0209163,98000000,443280904,The Mummy Returns,en,47.521,2001-05-04,The Mummy Returns,6.328,6073,Drama,Romance,Thriller,,,
118,False,"['Drama', 'Romance', 'Thriller']",5852,tt0225071,53000000,29700000,Angel Eyes,en,12.494,2001-05-15,Angel Eyes,6.109,368,Animation,Comedy,Fantasy,Adventure,Family,
119,False,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",808,tt0126029,60000000,487853320,Shrek,en,203.183,2001-05-18,Shrek,7.707,14677,Thriller,Drama,Mystery,,,
120,False,"['Thriller', 'Drama', 'Mystery']",1018,tt0166924,15000000,20271129,Mulholland Drive,en,30.716,2001-06-06,Mulholland Drive,7.8,5223,Action,Crime,Thriller,,,
121,False,"['Action', 'Crime', 'Thriller']",9705,tt0244244,102000000,147080413,Swordfish,en,22.719,2001-06-07,Swordfish,6.209,2304,Drama,Romance,,,,
122,False,"['Drama', 'Romance']",1365,tt0285742,4000000,44909486,Monster's Ball,en,19.723,2001-06-07,Monster's Ball,6.755,808,Adventure,Fantasy,Action,Thriller,,
123,False,"['Adventure', 'Fantasy', 'Action', 'Thriller']",1995,tt0146316,115000000,274703340,Lara Croft: Tomb Raider,en,31.591,2001-06-11,Lara Croft: Tomb Raider,5.865,5438,,,,,,
124,False,[],962776,tt15978306,0,0,The boys who killed Jamie Bulger,en,0.6,2001-06-12,The boys who killed Jamie Bulger,0.0,0,Action,Science Fiction,Fantasy,,,
125,False,"['Action', 'Science Fiction', 'Fantasy']",60495,tt0289213,0,0,Guardian,en,1.757,2001-06-12,Guardian,5.6,6,Action,Comedy,TV Movie,,,
126,False,"['Action', 'Comedy', 'TV Movie']",946589,tt0288038,0,0,Hard Knox,en,0.6,2001-06-16,Hard Knox,0.0,0,Action,Crime,Thriller,,,
127,False,"['Action', 'Crime', 'Thriller']",9799,tt0232500,38000000,207283925,The Fast and the Furious,en,5.915,2001-06-22,The Fast and the Furious,6.934,8605,Drama,Science Fiction,Adventure,,,
128,False,"['Drama', 'Science Fiction', 'Adventure']",644,tt0212720,100000000,235926552,A.I. Artificial Intelligence,en,32.819,2001-06-29,A.I. Artificial Intelligence,7.032,5419,Family,Comedy,,,,
129,False,"['Family', 'Comedy']",10992,tt0239395,60000000,93375151,Cats & Dogs,en,28.858,2001-07-04,Cats & Dogs,5.382,1406,Comedy,,,,,
130,False,['Comedy'],4248,tt0257106,45000000,141220678,Scary Movie 2,en,70.501,2001-07-04,Scary Movie 2,5.775,3949,Comedy,Romance,,,,
131,False,"['Comedy', 'Romance']",8835,tt0250494,18000000,141774679,Legally Blonde,en,33.352,2001-07-13,Legally Blonde,6.733,3341,Adventure,Action,Thriller,Science Fiction,,
