,tmdb_id,imdb_id,original_language,original_title,release_date,tmdb_rating_avg,tmdb_vote_count,imdb_rating,imdb_votes,budget,revenue
245,9341,tt0298814,en,The Core,28/03/2003,5.7,1533,5.5,102136,60000000,74208267
246,8409,tt0266465,en,A Man Apart,4/04/2003,6.1,748,6.0,47979,36000000,44350926
249,9506,tt0305224,en,Anger Management,11/04/2003,6.1,2670,6.2,218210,75000000,195745823
250,2662,tt0251736,en,House of 1000 Corpses,11/04/2003,6.2,1336,6.0,87793,7000000,17949758
251,10743,tt0310910,en,Confidence,25/04/2003,6.2,367,6.6,34624,15000000,23014206
253,10708,tt0317303,en,Daddy Day Care,9/05/2003,5.9,1849,5.6,69822,60000000,164433867
256,604,tt0234215,en,The Matrix Reloaded,15/05/2003,7.0,9533,7.2,598234,150000000,738599701
257,9902,tt0295700,en,Wrong Turn,30/05/2003,6.3,2196,6.1,122342,12600000,28650575
259,584,tt0322259,en,2 Fast 2 Furious,5/06/2003,6.5,6301,5.9,276646,76000000,236350661
261,11375,tt0329717,en,Hollywood Homicide,9/06/2003,5.3,535,5.3,37924,75000000,51142659
262,20694,tt0337711,en,Rugrats Go Wild,13/06/2003,6.2,258,5.5,8528,25000000,55443032
263,9471,tt0305357,en,Charlie's Angels: Full Throttle,27/06/2003,5.5,2677,4.9,129020,120000000,259175788
264,10327,tt0333780,en,"Legally Blonde 2: Red, White & Blonde",2/07/2003,5.6,1320,4.7,68510,45000000,124914842
265,296,tt0181852,en,Terminator 3: Rise of the Machines,2/07/2003,6.1,5725,6.3,402635,200000000,435000000
267,8961,tt0172156,en,Bad Boys II,18/07/2003,6.6,4678,6.6,253719,130000000,273339556
270,12279,tt0338459,en,Spy Kids 3-D: Game Over,25/07/2003,5.1,1894,4.3,61630,38000000,197011982
272,8273,tt0328828,en,American Wedding,1/08/2003,6.2,3578,6.3,208477,55000000,231449203
273,8046,tt0299930,en,Gigli,1/08/2003,4.1,387,2.6,49323,54000000,7266209
274,9257,tt0257076,en,S.W.A.T.,8/08/2003,6.1,2146,6.0,149038,80000000,116643346
275,11547,tt0303816,en,Cabin Fever,15/08/2003,5.7,1081,5.6,79673,1500000,30553395
276,10610,tt0288045,en,The Medallion,15/08/2003,5.6,912,5.2,42168,41000000,0
279,508,tt0314331,en,Love Actually,7/09/2003,7.1,5778,7.6,497650,40000000,244931766
281,10159,tt0327850,en,The Rundown,26/09/2003,6.4,1705,6.6,108859,85000000,80916492
283,21956,tt0369903,en,Scooby-Doo! and the Monster of Mexico,30/09/2003,7.4,271,6.3,4304,0,0
284,15271,tt0325123,en,Bright Young Things,3/10/2003,6.4,65,6.5,5805,10000000,0
286,10719,tt0319343,en,Elf,9/10/2003,6.7,3427,7.1,283498,32000000,225097437
290,4997,tt0335563,en,Wonderland,23/10/2003,6.1,215,6.5,22590,5000000,2466444
291,30141,tt0314676,en,The Singing Detective,24/10/2003,5.2,107,5.4,8693,8000000,337174
292,4256,tt0306047,en,Scary Movie 3,24/10/2003,6.0,3493,5.5,149517,48000000,220673217
293,605,tt0242653,en,The Matrix Revolutions,5/11/2003,6.7,8570,6.7,516515,150000000,424988211
297,9562,tt0300556,en,Timeline,26/11/2003,5.7,908,5.6,63855,80000000,43935763
299,122,tt0167260,en,The Lord of the Rings: The Return of the King,1/12/2003,8.5,20880,9.0,1848743,94000000,1118888979
303,22451,tt0343449,en,The Bone Snatcher,23/12/2003,4.0,43,4.4,2677,0,0
304,2289,tt0159365,en,Cold Mountain,24/12/2003,6.9,1510,7.2,150335,79000000,173013509
306,9620,tt0338337,en,Paycheck,25/12/2003,6.2,1535,6.3,109704,60000000,95427515
311,9372,tt0390521,en,Super Size Me,17/01/2004,6.7,1437,7.2,109843,65000,28575078
313,4553,tt0361862,en,The Machinist,9/02/2004,7.5,4716,7.7,393705,5000000,8203235
314,80,tt0381681,en,Before Sunset,10/02/2004,7.8,2830,8.1,266588,2700000,15992615
317,615,tt0335345,en,The Passion of the Christ,25/02/2004,7.4,3650,7.2,233388,30000000,611899420
318,18442,tt0357585,en,Decoys,27/02/2004,4.7,81,4.6,5076,5000000,0
321,11024,tt0331632,en,Scooby-Doo 2: Monsters Unleashed,24/03/2004,6.0,2349,5.2,59304,80000000,181466833
324,1487,tt0167190,en,Hellboy,2/04/2004,6.7,6084,6.8,332464,66000000,99318987
327,10591,tt0265208,en,The Girl Next Door,9/04/2004,6.7,2939,6.7,227158,21000000,31635150
328,10096,tt0337563,en,13 Going on 30,13/04/2004,6.7,4461,6.2,195711,37000000,96455697
331,652,tt0332452,en,Troy,3/05/2004,7.1,8898,7.3,538857,175000000,497409852
333,16617,tt0297284,en,Mindhunters,7/05/2004,6.5,991,6.3,61952,27000000,21148829
334,11025,tt0363282,en,New York Minute,7/05/2004,6.2,785,4.9,23912,30000000,21289826
336,809,tt0298148,en,Shrek 2,19/05/2004,7.2,10525,7.3,467571,150000000,928760770
338,12657,tt0367085,en,Soul Plane,28/05/2004,5.3,352,4.5,23503,16000000,14822346
340,9890,tt0327162,en,The Stepford Wives,10/06/2004,5.7,1132,5.3,67133,90000000,102000000
343,10204,tt0327437,en,Around the World in 80 Days,16/06/2004,5.9,2147,5.8,90967,110000000,72178895
346,12153,tt0381707,en,White Chicks,23/06/2004,6.9,3177,5.7,148581,37000000,113086475
348,558,tt0316654,en,Spider-Man 2,25/06/2004,7.2,13308,7.4,657075,200000000,783766341
352,9893,tt0368975,en,Sleepover,9/07/2004,6.0,415,5.3,17013,10000000,10143022
353,11247,tt0356470,en,A Cinderella Story,10/07/2004,6.5,2855,5.9,89208,19000000,70067909
355,2502,tt0372183,en,The Bourne Supremacy,23/07/2004,7.3,6607,7.7,466655,75000000,288500217
357,401,tt0333766,en,Garden State,28/07/2004,7.1,1564,7.4,217917,2500000,26781723
358,14462,tt0368008,en,The Manchurian Candidate,30/07/2004,6.4,1301,6.6,112077,80000000,96105964
360,83,tt0374102,en,Open Water,6/08/2004,5.5,920,5.8,54524,130000,54667954
362,10762,tt0364751,en,Without a Paddle,20/08/2004,5.6,551,5.8,48819,19000000,69631118
363,9759,tt0337921,en,Cellular,6/09/2004,6.4,1635,6.5,102026,25000000,56422687
365,10555,tt0307453,en,Shark Tale,20/09/2004,6.0,5645,6.0,185680,75000000,367275019
366,13969,tt0361620,en,First Daughter,24/09/2004,6.1,755,5.0,24028,30000000,0
370,176,tt0387564,en,Saw,1/10/2004,7.4,7812,7.6,425738,1200000,103911669
372,3989,tt0372588,en,Team America: World Police,10/10/2004,6.7,1574,7.2,171115,32000000,50907422
374,4380,tt0358135,en,Shall We Dance?,15/10/2004,6.4,1042,6.2,47685,50000000,170128460
378,45119,tt0433371,en,False Pretenses,25/10/2004,6.5,2,5.5,385,0,0
382,9801,tt0317198,en,Bridget Jones: The Edge of Reason,10/11/2004,6.3,2448,6.0,115626,40000000,262500000
